positions_part_number,service_call_category,total_cost_in_euros,total_service_count
671,Breakdown,1628.249038,4.868695652
672,Breakdown,1619.970286,31.64652174
673,Breakdown,1619.30383,2.434347826
674,Breakdown,1611.732487,2.434347826
675,Installation / Commissioning,1602.622745,2.434347826
676,Breakdown,1602.312083,19.47478261
677,Breakdown,1598.528924,2.434347826
678,Inspection / Maintenance,1595.066977,21.90913043
679,Breakdown,1593.341508,38.94956522
680,Breakdown,1585.605666,97.37391304
681,Breakdown,1582.326087,17.04043478
682,Accessories,1572.247887,9.737391304
683,Breakdown,1563.87373,17.04043478
684,Inspection / Maintenance,1557.330143,4.868695652
685,Breakdown,1550.207638,12.17173913
686,Breakdown,1545.551579,34.08086957
687,Installation / Commissioning,1543.701043,4.868695652
688,Breakdown,1522.659588,26.77782609
689,Inspection / Maintenance,1520.091279,2.434347826
690,Breakdown,1519.010524,7.303043478
691,Breakdown,1518.205365,2.434347826
692,Breakdown,1514.291573,90.07086957
693,Breakdown,1505.817605,31.64652174
694,Breakdown,1503.155817,53.55565217
695,Breakdown,1503.047774,17.04043478
696,Breakdown,1500.815533,150.9295652
697,Breakdown,1500.321418,60.85869565
698,Inspection / Maintenance,1499.387857,4.868695652
699,Breakdown,1498.577084,68.16173913
700,Breakdown,1498.319735,4.868695652
701,Breakdown,1497.924526,14.60608696
702,Breakdown,1496.737958,102.2426087
703,Inspection / Maintenance,1495.503612,14.60608696
704,Retrofit,1493.861887,4.868695652
705,Breakdown,1493.768288,197.1821739
706,Accessories,1480.132165,7.303043478
707,Breakdown,1478.34402,29.21217391
708,Breakdown,1471.497186,31.64652174
709,Installation / Commissioning,1469.219421,2.434347826
710,Breakdown,1468.788104,19.47478261
711,Breakdown,1467.354394,46.2526087
712,Breakdown,1462.635969,65.7273913
713,Breakdown,1460.608696,4.868695652
714,Installation / Commissioning,1457.892586,7.303043478
715,Breakdown,1456.255708,4.868695652
716,Accessories,1452.174191,9.737391304
717,Installation / Commissioning,1448.913182,2.434347826
718,Breakdown,1446.304965,4.868695652
719,Breakdown,1444.496314,63.29304348
720,Breakdown,1438.009184,4.868695652
721,Breakdown,1431.639957,17.04043478
722,Breakdown,1429.218543,43.81826087
723,Breakdown,1426.284391,19.47478261
724,Breakdown,1425.641247,17.04043478
725,Breakdown,1419.629117,7.303043478
726,Breakdown,1403.262491,14.60608696
727,Breakdown,1396.472224,75.46478261
728,Breakdown,1393.956252,2.434347826
729,Breakdown,1392.540787,14.60608696
730,Breakdown,1391.78034,53.55565217
731,Breakdown,1391.006152,2.434347826
732,Breakdown,1390.302469,12.17173913
733,Breakdown,1387.91907,2.434347826
734,Breakdown,1387.254908,14.60608696
735,Inspection / Maintenance,1384.466601,51.12130435
736,Breakdown,1382.295726,2.434347826
737,Breakdown,1379.084552,41.38391304
738,Breakdown,1366.107313,12.17173913
739,Breakdown,1353.302643,14.60608696
740,Breakdown,1340.539208,129.0204348
741,Breakdown,1339.716579,7.303043478
742,Inspection / Maintenance,1337.627787,14.60608696
743,Inspection / Maintenance,1335.776446,9.737391304
744,Accessories,1334.87463,24.34347826
745,Breakdown,1333.828704,17.04043478
746,Installation / Commissioning,1324.982748,4.868695652
747,Breakdown,1321.187858,2.434347826
748,Breakdown,1314.280048,2.434347826
749,Installation / Commissioning,1312.649035,2.434347826
750,Installation / Commissioning,1308.808312,4.868695652
751,Breakdown,1306.517345,4.868695652
752,Breakdown,1302.483745,2.434347826
753,Breakdown,1301.437924,26.77782609
754,Breakdown,1300.958064,2.434347826
755,Installation / Commissioning,1299.506058,7.303043478
756,Breakdown,1290.369323,2.434347826
757,Installation / Commissioning,1288.299166,7.303043478
758,Breakdown,1286.114643,2.434347826
759,Retrofit,1284.993253,82.76782609
760,Breakdown,1281.367665,146.0608696
761,Breakdown,1279.930174,77.89913043
762,Breakdown,1278.928604,43.81826087
763,Breakdown,1271.310665,87.63652174
764,Breakdown,1268.742521,219.0913043
765,Breakdown,1261.035121,24.34347826
766,Breakdown,1257.879688,77.89913043
767,Installation / Commissioning,1242.923921,4.868695652
768,Breakdown,1238.587908,85.20217391
769,Breakdown,1237.015939,9.737391304
770,Installation / Commissioning,1232.429823,31.64652174
771,Breakdown,1227.822906,68.16173913
772,Breakdown,1224.993268,109.5456522
773,Breakdown,1221.155244,2.434347826
774,Breakdown,1217.860121,9.737391304
775,Inspection / Maintenance,1217.198257,43.81826087
776,Breakdown,1217.173913,4.868695652
777,Installation / Commissioning,1217.170941,7.303043478
778,Breakdown,1208.251893,38.94956522
779,Breakdown,1207.573598,9.737391304
780,Breakdown,1204.937398,12.17173913
781,Breakdown,1198.693829,31.64652174
782,Breakdown,1196.214178,4.868695652
783,Breakdown,1190.725317,63.29304348
784,Breakdown,1188.512092,51.12130435
785,Breakdown,1186.826323,9.737391304
786,Breakdown,1186.527843,343.2430435
787,Inspection / Maintenance,1185.745219,4.868695652
788,Breakdown,1170.142313,2.434347826
789,Breakdown,1166.630372,12.17173913
790,Transport damages,1160.526639,9.737391304
791,Breakdown,1157.079863,12.17173913
792,Breakdown,1148.915508,6587.345217
793,Inspection / Maintenance,1146.15917,21.90913043
794,Breakdown,1144.386913,9.737391304
795,Breakdown,1143.87231,21.90913043
796,Breakdown,1139.767799,7.303043478
797,Breakdown,1132.312548,4.868695652
798,Installation / Commissioning,1132.142143,4.868695652
799,Instruction,1129.591691,24.34347826
800,Breakdown,1125.599413,4968.503913
801,Breakdown,1124.570548,34.08086957
802,Breakdown,1114.697147,43.81826087
803,Breakdown,1113.619748,17.04043478
804,Installation / Commissioning,1110.671196,4.868695652
805,Retrofit,1109.210587,2.434347826
806,Breakdown,1106.946643,12.17173913
807,Breakdown,1103.82385,80.33347826
808,Breakdown,1102.467443,9.737391304
809,Installation / Commissioning,1098.221044,34.08086957
810,Inspection / Maintenance,1097.944659,4.868695652
811,Breakdown,1096.625009,2.434347826
812,Breakdown,1095.662869,172.8386957
813,Breakdown,1095.362714,2.434347826
814,Breakdown,1093.093337,119.2830435
815,Breakdown,1092.230065,7.303043478
816,Inspection / Maintenance,1091.474572,41.38391304
817,Breakdown,1090.153654,4.868695652
818,Breakdown,1089.145121,4.868695652
819,Breakdown,1088.656961,333.5056522
820,Breakdown,1084.090531,4.868695652
821,Breakdown,1082.349349,14.60608696
822,Breakdown,1082.130502,68.16173913
823,Breakdown,1079.023316,2.434347826
824,Breakdown,1076.692008,75.46478261
825,Breakdown,1076.198262,119.2830435
826,Installation / Commissioning,1072.84372,46.2526087
827,Breakdown,1057.3512,14.60608696
828,Breakdown,1052.503251,4.868695652
829,Breakdown,1051.974214,14.60608696
830,Breakdown,1049.846611,68.16173913
831,Breakdown,1043.95475,4.868695652
832,Breakdown,1039.976388,36.51521739
833,Inspection / Maintenance,1039.382043,2.434347826
834,Installation / Commissioning,1038.502636,7.303043478
835,Breakdown,1038.200243,21.90913043
836,Breakdown,1037.458801,4.868695652
837,Breakdown,1035.537748,2.434347826
838,Retrofit,1034.013583,2.434347826
839,Breakdown,1030.167313,4.868695652
840,Breakdown,1028.975212,12.17173913
841,Inspection / Maintenance,1028.702843,58.42434783
842,Breakdown,1026.978317,4.868695652
843,Breakdown,1020.308204,14.60608696
844,Breakdown,1016.022879,9.737391304
845,Breakdown,1015.520219,53.55565217
846,Inspection / Maintenance,1012.350161,12.17173913
847,Transport damages,1008.355557,2.434347826
848,Retrofit,1007.99908,29.21217391
849,Breakdown,1006.74005,31.64652174
850,Breakdown,1003.905478,4.868695652
851,Breakdown,1003.657265,2.434347826
852,Inspection / Maintenance,1002.884175,60.85869565
853,Breakdown,1002.367061,14.60608696
854,Breakdown,998.910287,9.737391304
855,Breakdown,992.7270435,2.434347826
856,Breakdown,990.8490352,34.08086957
857,Inspection / Maintenance,989.668237,4.868695652
858,Breakdown,989.0309883,104.6769565
859,Breakdown,988.7100743,4.868695652
860,Transport damages,988.1017826,7.303043478
861,Inspection / Maintenance,987.2555454,2.434347826
862,Breakdown,986.0188852,2.434347826
863,Breakdown,984.0669334,58.42434783
864,Breakdown,979.9984502,17.04043478
865,Installation / Commissioning,973.7391304,4.868695652
866,Breakdown,971.3047826,17.04043478
867,Breakdown,968.9678087,4.868695652
868,Inspection / Maintenance,965.9248739,2.434347826
869,Breakdown,965.8606495,34.08086957
870,Breakdown,960.998455,7.303043478
871,Breakdown,958.2566783,4.868695652
872,Breakdown,957.7354097,2.434347826
873,Breakdown,957.5507174,7.303043478
874,Inspection / Maintenance,956.1602094,9.737391304
875,Breakdown,955.2011319,26.77782609
876,Inspection / Maintenance,954.7601259,2.434347826
877,Breakdown,951.3458808,94.93956522
878,Breakdown,950.5547116,4.868695652
879,Breakdown,950.2112811,165.5356522
880,Breakdown,949.3256523,569.6373913
881,Breakdown,947.9596852,4.868695652
882,Installation / Commissioning,944.5269565,9.737391304
883,Breakdown,942.1865463,4.868695652
884,Retrofit,941.6057391,26.77782609
885,Installation / Commissioning,938.0977806,2.434347826
886,Inspection / Maintenance,937.9280114,4.868695652
887,Inspection / Maintenance,937.3680763,21.90913043
888,Breakdown,927.1928274,7.303043478
889,Breakdown,927.1021134,4.868695652
890,Breakdown,925.563387,2.434347826
891,Breakdown,921.6684304,2.434347826
892,Instruction,919.3278174,9.737391304
893,Breakdown,918.1617327,233.6973913
894,Inspection / Maintenance,918.1413014,26.77782609
895,Breakdown,917.4138353,2.434347826
896,Breakdown,916.1911478,2.434347826
897,Inspection / Maintenance,913.9344643,9.737391304
898,Retrofit,913.5539098,4.868695652
899,Installation / Commissioning,912.8804348,7.303043478
900,Inspection / Maintenance,911.3290001,29.21217391
901,Breakdown,907.0394321,14.60608696
902,Inspection / Maintenance,903.7073823,7.303043478
903,Inspection / Maintenance,903.6539347,55.99
904,Breakdown,903.3134478,34.08086957
905,Inspection / Maintenance,900.1448179,9.737391304
906,Installation / Commissioning,896.8992042,17.04043478
907,Breakdown,895.3367049,236.1317391
908,Breakdown,894.4636558,24.34347826
909,Breakdown,893.4056522,14.60608696
910,Breakdown,891.126456,2.434347826
911,Retrofit,890.6262387,99.80826087
912,Breakdown,888.3013467,29.21217391
913,Breakdown,884.4715957,4.868695652
914,Breakdown,884.4472522,2.434347826
915,Inspection / Maintenance,882.9799534,2.434347826
916,Breakdown,880.3855499,29.21217391
917,Breakdown,877.2902696,26.77782609
918,Breakdown,877.0049803,65.7273913
919,Breakdown,875.0506696,2.434347826
920,Breakdown,872.5203262,87.63652174
921,Breakdown,869.9281111,4.868695652
922,Breakdown,869.6877643,2.434347826
923,Breakdown,866.5628008,2.434347826
924,Breakdown,862.7193129,29.21217391
925,Breakdown,862.3854745,2.434347826
926,Inspection / Maintenance,854.4478301,9.737391304
927,Breakdown,852.0217391,2.434347826
928,Retrofit,849.1367478,2.434347826
929,Breakdown,848.8957524,31.64652174
930,Breakdown,845.8813582,131.4547826
931,Breakdown,845.7557863,12.17173913
932,Inspection / Maintenance,845.0839206,24.34347826
933,Breakdown,844.1976352,4.868695652
934,Breakdown,842.7468739,4.868695652
935,Breakdown,842.7222921,19.47478261
936,Breakdown,840.9896631,41.38391304
937,Retrofit,840.1908087,4.868695652
938,Breakdown,840.0532824,14.60608696
939,Breakdown,840.024987,7.303043478
940,Breakdown,839.7978543,53.55565217
941,Breakdown,838.9964797,73.03043478
942,Breakdown,838.5240319,29.21217391
943,Breakdown,838.1015771,38.94956522
944,Inspection / Maintenance,836.1433023,2.434347826
945,Breakdown,834.8109,2.434347826
946,Inspection / Maintenance,833.918713,314.0308696
947,Breakdown,831.3297826,4.868695652
948,Breakdown,830.5963085,4048.320435
949,Inspection / Maintenance,826.9966435,12.17173913
950,Breakdown,826.4552513,309.1621739
951,Breakdown,824.3918913,2.434347826
952,Breakdown,821.7352671,26.77782609
953,Inspection / Maintenance,819.8393047,7.303043478
954,Transport damages,818.2134627,9.737391304
955,Installation / Commissioning,815.3675499,4.868695652
956,Inspection / Maintenance,814.2360974,133.8891304
957,Breakdown,813.2804706,19.47478261
958,Breakdown,808.4638038,4.868695652
959,Breakdown,808.2317759,7.303043478
960,Breakdown,808.1519765,19.47478261
961,Breakdown,805.9415925,17.04043478
962,Breakdown,804.7953913,141.1921739
963,Breakdown,804.4440728,2.434347826
964,Breakdown,801.2169,7.303043478
965,Breakdown,800.3491086,60.85869565
966,Breakdown,800.0985088,12.17173913
967,Breakdown,799.2450783,2.434347826
968,Breakdown,798.7943037,2.434347826
969,Retrofit,798.368713,2.434347826
970,Breakdown,798.0035609,46.2526087
971,Inspection / Maintenance,794.0524306,4.868695652
972,Inspection / Maintenance,792.5202893,34.08086957
973,Breakdown,792.4045609,29.21217391
974,Breakdown,791.3091043,2.434347826
975,Installation / Commissioning,788.7286957,7.303043478
976,Breakdown,788.7108606,2.434347826
977,Breakdown,788.3148565,4.868695652
978,Breakdown,781.1093462,7.303043478
979,Inspection / Maintenance,780.9062188,14.60608696
980,Breakdown,777.5110714,12.17173913
981,Breakdown,777.3667601,29.21217391
982,Transport damages,776.9951391,2.434347826
983,Breakdown,773.6357391,7.303043478
984,Inspection / Maintenance,773.1350098,4.868695652
985,Installation / Commissioning,772.4915957,17.04043478
986,Retrofit,770.9793824,48.68695652
987,Inspection / Maintenance,770.5156428,24.34347826
988,Breakdown,768.791387,4.868695652
989,Breakdown,766.8060276,202.0508696
990,Breakdown,765.1886858,80.33347826
991,Breakdown,763.0363185,14.60608696
992,Retrofit,761.4396565,2.434347826
993,Breakdown,760.4399003,163.1013043
994,Breakdown,760.4172304,2.434347826
995,Breakdown,760.2224826,2.434347826
996,Breakdown,757.1795478,14.60608696
997,Breakdown,756.9199056,4.868695652
998,Breakdown,756.5709609,4.868695652
999,Inspection / Maintenance,755.195049,36.51521739
1000,Inspection / Maintenance,754.9906655,628.0617391
1001,Inspection / Maintenance,753.813069,4.868695652
1002,Inspection / Maintenance,752.9406528,12.17173913
1003,Breakdown,752.6075661,2.434347826
1004,Breakdown,752.3300185,2.434347826
1005,Breakdown,751.8227769,73.03043478
1006,Installation / Commissioning,748.5619565,9.737391304
1007,Breakdown,748.0317931,21.90913043
1008,Breakdown,743.2480484,4.868695652
1009,Breakdown,743.0692857,530.6878261
1010,Breakdown,742.378713,4.868695652
1011,Welding,741.7013251,19.47478261
1012,Breakdown,741.635244,2.434347826
1013,Inspection / Maintenance,739.0935772,14.60608696
1014,Breakdown,738.4350696,4.868695652
1015,Breakdown,737.563083,2.434347826
1016,Breakdown,736.7786918,2.434347826
1017,Inspection / Maintenance,734.0415087,19.47478261
1018,Breakdown,733.5907174,41.38391304
1019,Breakdown,731.3360368,7.303043478
1020,Breakdown,730.3286913,2.434347826
1021,Installation / Commissioning,730.3043478,4.868695652
1022,Installation / Commissioning,730.3043478,2.434347826
1023,Breakdown,729.6227304,2.434347826
1024,Breakdown,729.0871739,9.737391304
1025,Inspection / Maintenance,727.5027991,38.94956522
1026,Inspection / Maintenance,727.4445997,87.63652174
1027,Inspection / Maintenance,727.0574819,31.64652174
1028,Breakdown,719.8136955,4.868695652
1029,Breakdown,719.1063478,4.868695652
1030,Breakdown,717.2562435,2.434347826
1031,Breakdown,717.1588696,2.434347826
1032,Inspection / Maintenance,714.4565049,17.04043478
1033,Retrofit,713.8725,7.303043478
1034,Breakdown,713.5560348,7.303043478
1035,Installation / Commissioning,712.1928,2.434347826
1036,Inspection / Maintenance,712.1613455,29.21217391
1037,Breakdown,709.7097652,2.434347826
1038,Retrofit,707.8195299,2.434347826
1039,Breakdown,705.7174348,14.60608696
1040,Breakdown,705.2770956,19.47478261
1041,Breakdown,702.9870681,343.2430435
1042,Breakdown,702.8866814,14.60608696
1043,Breakdown,702.4488287,803.3347826
1044,Breakdown,702.0427006,2.434347826
1045,Breakdown,701.2386754,4.868695652
1046,Breakdown,699.0686247,4.868695652
1047,Breakdown,699.0686247,4.868695652
1048,Breakdown,698.0173818,2.434347826
1049,Breakdown,698.0173818,2.434347826
1050,Breakdown,697.0389091,109.5456522
1051,Breakdown,695.4644165,31.64652174
1052,Inspection / Maintenance,695.0406328,19.47478261
1053,Installation / Commissioning,694.1329166,155.7982609
1054,Breakdown,693.7748978,38.94956522
1055,Breakdown,693.2292304,4.868695652
1056,Inspection / Maintenance,693.0031667,19.47478261
1057,Breakdown,692.4671121,2.434347826
1058,Installation / Commissioning,691.987713,21.90913043
1059,Breakdown,691.2520276,51.12130435
1060,Breakdown,689.4686784,26.77782609
1061,Breakdown,689.3472397,4.868695652
1062,Breakdown,688.9079877,70.59608696
1063,Inspection / Maintenance,686.5841775,172.8386957
1064,Breakdown,685.6249162,19.47478261
1065,Breakdown,685.4149739,2.434347826
1066,Breakdown,684.9541545,150.9295652
1067,Accessories,684.2608038,14.60608696
1068,Breakdown,677.9996427,4.868695652
1069,Inspection / Maintenance,677.6863996,38.94956522
1070,Breakdown,677.224311,17.04043478
1071,Breakdown,676.2374826,4.868695652
1072,Inspection / Maintenance,672.6413644,41.38391304
1073,Installation / Commissioning,670.9002181,4.868695652
1074,Breakdown,670.6130184,2969.904348
1075,Breakdown,667.140002,7.303043478
1076,Breakdown,664.6875195,34.08086957
1077,Breakdown,663.8537278,7.303043478
1078,Breakdown,661.9951568,2.434347826
1079,Breakdown,661.9722043,2.434347826
1080,Breakdown,661.4023927,24.34347826
1081,Inspection / Maintenance,658.3816341,2.434347826
1082,Breakdown,653.9632,7.303043478
1083,Breakdown,652.76165,43.81826087
1084,Inspection / Maintenance,652.3598762,4.868695652
1085,Breakdown,652.0644087,2.434347826
1086,Breakdown,651.6047279,4.868695652
1087,Breakdown,651.5045087,7.303043478
1088,Breakdown,650.1656174,7.303043478
1089,Breakdown,649.890251,4.868695652
1090,Breakdown,648.2759578,109.5456522
1091,Breakdown,644.8273078,24.34347826
1092,Breakdown,642.9112609,17.04043478
1093,Breakdown,641.1913377,206.9195652
1094,Breakdown,639.8905967,38.94956522
1095,Breakdown,639.6005478,4.868695652
1096,Installation / Commissioning,638.6848642,19.47478261
1097,Breakdown,638.5259237,24.34347826
1098,Breakdown,635.3070233,2.434347826
1099,Breakdown,633.765235,9.737391304
1100,Breakdown,633.6368759,24.34347826
1101,Breakdown,633.5113369,2.434347826
1102,Breakdown,633.230882,2.434347826
1103,Breakdown,633.1360228,2.434347826
1104,Breakdown,631.7862913,2.434347826
1105,Breakdown,630.9313087,43.81826087
1106,Breakdown,630.2769957,4.868695652
1107,Inspection / Maintenance,627.4627973,2.434347826
1108,Breakdown,627.4536018,29.21217391
1109,Breakdown,623.8694949,29.21217391
1110,Breakdown,623.6198231,82.76782609
1111,Installation / Commissioning,622.0489,2.434347826
1112,Breakdown,621.0386939,12.17173913
1113,Breakdown,617.339438,250.7378261
1114,Breakdown,617.2384719,14.60608696
1115,Breakdown,615.1871558,48.68695652
1116,Breakdown,614.6441227,34.08086957
1117,Breakdown,613.6731361,367.5865217
1118,Breakdown,613.378924,24.34347826
1119,Breakdown,612.8988433,94.93956522
1120,Breakdown,612.8957522,21.90913043
1121,Breakdown,609.1712,4.868695652
1122,Breakdown,608.1487739,2.434347826
1123,Breakdown,604.2051304,24.34347826
1124,Inspection / Maintenance,601.493442,41.38391304
1125,Inspection / Maintenance,599.4701289,70.59608696
1126,Retrofit,599.4338087,2.434347826
1127,Installation / Commissioning,599.0373345,2.434347826
1128,Inspection / Maintenance,597.0051319,17.04043478
1129,Breakdown,595.9862853,4.868695652
1130,Inspection / Maintenance,594.7724309,31.64652174
1131,Inspection / Maintenance,591.4168693,7.303043478
1132,Breakdown,590.6945,2.434347826
1133,Breakdown,589.8355004,2.434347826
1134,Breakdown,589.673756,2.434347826
1135,Breakdown,588.5279304,7.303043478
1136,Installation / Commissioning,586.5074217,12.17173913
1137,Breakdown,585.1923318,4.868695652
1138,Breakdown,584.3895391,7.303043478
1139,Breakdown,584.3358786,2.434347826
1140,Inspection / Maintenance,584.2197387,163.1013043
1141,Breakdown,582.4993961,2.434347826
1142,Breakdown,580.8143434,4.868695652
1143,Installation / Commissioning,580.3994337,2.434347826
1144,Breakdown,578.4077745,60.85869565
1145,Inspection / Maintenance,577.3692427,270.2126087
1146,Breakdown,572.6358462,2.434347826
1147,Accessories,572.5586087,7.303043478
1148,Breakdown,567.6294098,2.434347826
1149,Retrofit,566.7161739,4.868695652
1150,Breakdown,566.5973549,24.34347826
1151,Breakdown,565.599707,4.868695652
1152,Breakdown,564.987787,24.34347826
1153,Retrofit,564.5739478,2.434347826
1154,Breakdown,560.6522855,7.303043478
1155,Breakdown,560.562166,9.737391304
1156,Breakdown,560.3868696,4.868695652
1157,Installation / Commissioning,560.0217174,46.2526087
1158,Breakdown,559.4667309,2514.681304
1159,Inspection / Maintenance,558.5924456,9.737391304
1160,Retrofit,558.2222188,21.90913043
1161,Breakdown,557.2045944,21.90913043
1162,Breakdown,554.5783496,12.17173913
1163,Breakdown,552.2339875,12.17173913
1164,Breakdown,551.9330741,2.434347826
1165,Instruction,549.3515972,2.434347826
1166,Breakdown,548.4206254,48.68695652
1167,Breakdown,542.7686796,63.29304348
1168,Accessories,541.9101696,2.434347826
1169,Installation / Commissioning,538.7980024,1268.295217
1170,Retrofit,533.6820739,4.868695652
1171,Breakdown,532.3624909,17.04043478
1172,Breakdown,531.7102522,2.434347826
1173,Breakdown,531.3694435,12.17173913
1174,Installation / Commissioning,527.474487,9.737391304
1175,Breakdown,527.2310522,2.434347826
1176,Breakdown,526.8786183,4.868695652
1177,Breakdown,526.1599391,12.17173913
1178,Installation / Commissioning,525.8191304,7.303043478
1179,Breakdown,525.6730696,4.868695652
1180,Breakdown,525.4912136,34.08086957
1181,Breakdown,525.4859454,2.434347826
1182,Breakdown,524.2395128,12.17173913
1183,Breakdown,523.2686586,2.434347826
1184,Breakdown,522.0449419,7.303043478
1185,Breakdown,521.3838142,4.868695652
1186,Breakdown,520.35304,12.17173913
1187,Breakdown,519.5872,4.868695652
1188,Breakdown,518.6134609,14.60608696
1189,Breakdown,517.5910348,2.434347826
1190,Breakdown,517.0554783,4.868695652
1191,Breakdown,515.5947315,4.868695652
1192,Breakdown,515.3202951,155.7982609
1193,Inspection / Maintenance,514.7891535,12.17173913
1194,Breakdown,513.6960783,7.303043478
1195,Breakdown,512.9666469,167.97
1196,Breakdown,512.6832951,129.0204348
1197,Breakdown,511.2130435,17.04043478
1198,Breakdown,510.1906174,2.434347826
1199,Accessories,510.0624801,7.303043478
1200,Breakdown,508.166212,2.434347826
1201,Breakdown,506.5684651,153.363913
1202,Transport damages,506.5390957,2.434347826
1203,Breakdown,504.4266319,21.90913043
1204,Breakdown,503.4916812,2.434347826
1205,Breakdown,503.4263759,63.29304348
1206,Breakdown,502.01801,29.21217391
1207,Breakdown,501.0076994,99.80826087
1208,Breakdown,499.2163902,321.333913
1209,Breakdown,495.9051209,97.37391304
1210,Breakdown,494.2440622,26.77782609
1211,Breakdown,493.7587696,2.434347826
1212,Installation / Commissioning,493.7587696,2.434347826
1213,Breakdown,493.1258391,55.99
1214,Breakdown,490.8862391,2.434347826
1215,Accessories,489.303913,2.434347826
1216,Installation / Commissioning,489.2006483,1187.961739
1217,Breakdown,488.2640736,14.60608696
1218,Breakdown,488.1843859,4.868695652
1219,Breakdown,488.0120497,2.434347826
1220,Installation / Commissioning,486.8695652,2.434347826
1221,Installation / Commissioning,486.8695652,2.434347826
1222,Breakdown,486.8695652,2.434347826
1223,Breakdown,486.8695652,2.434347826
1224,Breakdown,486.8695652,4.868695652
1225,Inspection / Maintenance,485.7948026,12.17173913
1226,Breakdown,483.686302,63.29304348
1227,Breakdown,482.5197769,116.8486957
1228,Accessories,481.1488478,2.434347826
1229,Breakdown,481.1488478,2.434347826
1230,Inspection / Maintenance,480.4568633,2.434347826
1231,Inspection / Maintenance,480.3664562,4.868695652
1232,Breakdown,478.7017041,12.17173913
1233,Breakdown,477.5914032,19.47478261
1234,Inspection / Maintenance,476.7695734,38.94956522
1235,Breakdown,476.5078173,58.42434783
1236,Breakdown,475.7149246,7.303043478
1237,Retrofit,475.6976261,4.868695652
1238,Breakdown,474.8682304,7.303043478
1239,Breakdown,474.5564392,80.33347826
1240,Inspection / Maintenance,473.176439,70.59608696
1241,Installation / Commissioning,473.0216128,2.434347826
1242,Breakdown,470.316,2.434347826
1243,Breakdown,469.4596434,17.04043478
1244,Breakdown,468.1878213,17.04043478
1245,Inspection / Maintenance,466.6891835,9.737391304
1246,Breakdown,465.3499304,4.868695652
1247,Breakdown,465.0604728,9.737391304
1248,Inspection / Maintenance,464.293162,24.34347826
1249,Retrofit,464.2509775,4.868695652
1250,Installation / Commissioning,463.765743,2.434347826
1251,Inspection / Maintenance,463.1774846,12.17173913
1252,Breakdown,459.4364792,21.90913043
1253,Breakdown,459.0094855,77.89913043
1254,Breakdown,458.2037244,19.47478261
1255,Breakdown,457.269849,131.4547826
1256,Breakdown,456.1981505,19.47478261
1257,Breakdown,455.2990222,14.60608696
1258,Accessories,455.2960739,2.434347826
1259,Installation / Commissioning,453.8598087,4.868695652
1260,Accessories,452.7886957,4.868695652
1261,Breakdown,451.7419261,2.434347826
1262,Breakdown,450.3543478,17.04043478
1263,Inspection / Maintenance,445.5616584,9.737391304
1264,Transport damages,445.2422174,4.868695652
1265,Breakdown,443.7572652,9.737391304
1266,Accessories,441.0794826,2.434347826
1267,Breakdown,440.6719027,77.89913043
1268,Inspection / Maintenance,440.3006286,136.3234783
1269,Breakdown,440.2274609,2.434347826
1270,Retrofit,440.2031174,7.303043478
1271,Breakdown,438.876521,43.81826087
1272,Breakdown,438.5964478,2.434347826
1273,Breakdown,438.1826087,4.868695652
1274,Breakdown,437.2612217,17.04043478
1275,Breakdown,436.146824,2.434347826
1276,Retrofit,435.3226324,2.434347826
1277,Inspection / Maintenance,433.8463397,12.17173913
1278,Inspection / Maintenance,433.4710207,12.17173913
1279,Breakdown,433.2165391,2.434347826
1280,Breakdown,432.0723957,14.60608696
1281,Breakdown,431.4759765,19.47478261
1282,Breakdown,430.7578478,2.434347826
1283,Breakdown,427.6170418,14.60608696
1284,Breakdown,427.3483774,2.434347826
1285,Breakdown,427.3115964,2.434347826
1286,Breakdown,427.0932427,21.90913043
1287,Installation / Commissioning,426.0108696,4.868695652
1288,Instruction,422.115913,4.868695652
1289,Transport damages,421.7264174,2.434347826
1290,Breakdown,421.7020739,4.868695652
1291,Installation / Commissioning,420.8780343,922.6178261
1292,Breakdown,420.537637,17.04043478
1293,Breakdown,420.440821,24.34347826
1294,Breakdown,418.4157043,85.20217391
1295,Breakdown,417.5017289,3162.217826
1296,Retrofit,417.076813,4.868695652
1297,Breakdown,416.8090348,7.303043478
1298,Breakdown,416.6873174,36.51521739
1299,Breakdown,415.7859875,9.737391304
1300,Inspection / Maintenance,413.4983217,2.434347826
1301,Inspection / Maintenance,413.187716,21.90913043
1302,Installation / Commissioning,412.6385607,2.434347826
1303,Breakdown,412.4880024,2.434347826
1304,Breakdown,412.2338385,12.17173913
1305,Breakdown,411.9357243,2.434347826
1306,Breakdown,411.7050093,43.81826087
1307,Breakdown,410.4502437,60.85869565
1308,Installation / Commissioning,408.9704348,12.17173913
1309,Installation / Commissioning,408.9704348,17.04043478
1310,Breakdown,407.942536,14.60608696
1311,Inspection / Maintenance,407.3483356,9.737391304
1312,Installation / Commissioning,406.9255826,2.434347826
1313,Breakdown,406.8252583,7.303043478
1314,Breakdown,406.438713,2.434347826
1315,Breakdown,406.3900261,17.04043478
1316,Inspection / Maintenance,405.2928828,2.434347826
1317,Breakdown,404.9431048,9.737391304
1318,Inspection / Maintenance,403.6208844,2.434347826
1319,Breakdown,402.2047227,7.303043478
1320,Breakdown,401.9559845,87.63652174
1321,Breakdown,401.6350281,2.434347826
1322,Breakdown,400.4015304,7.303043478
1323,Breakdown,397.7126903,4.868695652
