positions_part_number,service_call_category,total_cost_in_euros,total_service_count
154,Breakdown,16627.08476,194.7478261
155,Breakdown,16517.10056,345.6773913
156,Inspection / Maintenance,16363.3073,1631.013043
157,Breakdown,16353.80299,282.3843478
158,Installation / Commissioning,15827.51845,119.2830435
159,Installation / Commissioning,15810.18623,24.34347826
160,Breakdown,15802.42203,153.363913
161,Breakdown,15790.2658,29.21217391
162,Breakdown,15645.46085,1022.426087
163,Breakdown,15546.09161,73.03043478
164,Breakdown,15445.56695,26.77782609
165,Breakdown,15418.28277,17.04043478
166,Breakdown,14992.78357,65.7273913
167,Breakdown,14929.83881,29.21217391
168,Breakdown,14916.7512,48.68695652
169,Inspection / Maintenance,14905.916,752.2134783
170,Breakdown,14854.64134,34.08086957
171,Breakdown,14594.42594,679.1830435
172,Breakdown,14478.8357,248.3034783
173,Breakdown,14310.74687,282.3843478
174,Breakdown,14237.6568,2232.296957
175,Breakdown,14172.88753,55.99
176,Breakdown,13839.36199,97.37391304
177,Breakdown,13833.69193,1280.466957
178,Breakdown,13683.1511,19.47478261
179,Breakdown,13674.6995,63.29304348
180,Installation / Commissioning,13191.54054,19.47478261
181,Installation / Commissioning,13078.17293,73.03043478
182,Breakdown,13006.53229,776.5569565
183,Breakdown,12958.35305,727.87
184,Installation / Commissioning,12821.22313,2.434347826
185,Installation / Commissioning,12671.66493,24.34347826
186,Breakdown,12426.49656,408.9704348
187,Breakdown,12403.78117,51.12130435
188,Breakdown,12343.92347,87.63652174
189,Breakdown,12284.90936,2633.964348
190,Breakdown,12121.73611,138.7578261
191,Breakdown,12084.81253,2173.872609
192,Breakdown,12002.73385,158.2326087
193,Breakdown,11968.46311,121.7173913
194,Breakdown,11953.56179,94.93956522
195,Breakdown,11859.84446,272.6469565
196,Breakdown,11837.99302,75.46478261
197,Breakdown,11642.63917,131.4547826
198,Breakdown,11609.19363,474.6978261
199,Breakdown,11257.05927,433.313913
200,Breakdown,11183.46169,29.21217391
201,Breakdown,11183.10977,36.51521739
202,Breakdown,11045.15002,642.6678261
203,Breakdown,10991.8018,34.08086957
204,Inspection / Maintenance,10833.23732,68.16173913
205,Breakdown,10815.1689,38.94956522
206,Breakdown,10647.00899,75.46478261
207,Breakdown,10565.18713,17.04043478
208,Breakdown,10561.97512,87.63652174
209,Breakdown,10541.59475,301.8591304
210,Breakdown,10459.17299,603.7182609
211,Breakdown,10450.42827,428.4452174
212,Installation / Commissioning,10380.58415,119.2830435
