serial_number,model,energy_type,machine_size,machine_type,unknow_feature,average_time_between_service,avg_serv_costs,days_to_first_serv,installation_year,Accessories,Breakdown,Inspection / Maintenance,Instruction,Retrofit,Transport damages,Welding
1,G11SH,Gas,101,Single,H,57,3637.713913,434,2013,0,33,0,0,0,0,0
2,E12SH,Electric,102,Single,H,54,679.3751157,141,2015,0,27,0,0,0,0,0
3,E62SH,Electric,62,Single,H,41,262.8345272,110,2015,0,27,1,0,0,0,0
4,E12SH,Electric,102,Single,H,50,471.0868402,5,2015,0,24,0,0,0,0,0
5,E12SH,Electric,102,Single,H,51,384.1435936,49,2015,0,24,0,0,0,0,0
6,E11SH,Electric,101,Single,H,43,259.8247826,31,2014,1,21,0,0,0,0,0
7,E12SH,Electric,102,Single,H,70,544.9311317,19,2014,0,21,0,0,0,0,0
8,E12SH,Electric,102,Single,H,42,387.6915419,36,2016,0,21,0,0,0,0,0
9,E62SH,Electric,62,Single,H,64,335.9176823,120,2015,0,21,0,0,1,0,0
10,E62SH,Electric,62,Single,H,63,364.1296158,10,2015,0,21,0,0,0,0,0
11,E12SH,Electric,102,Single,H,54,382.9106172,17,2015,0,20,0,0,0,0,0
12,E62SH,Electric,62,Single,H,62,525.0901178,41,2015,0,20,0,0,0,0,0
13,E62SH,Electric,62,Single,H,62,402.2836695,62,2015,0,20,0,0,0,0,0
14,E62SH,Electric,62,Single,H,66,299.6870555,91,2015,0,20,0,0,0,0,0
15,E62SH,Electric,62,Single,H,75,284.7518481,28,2015,0,19,0,0,0,0,0
16,E62SH,Electric,62,Single,H,50,404.6310073,105,2015,0,19,0,0,0,0,0
17,E62SH,Electric,62,Single,H,55,361.2717777,86,2016,0,19,0,0,0,0,0
18,E12SH,Electric,102,Single,H,62,477.3259233,79,2016,0,18,0,0,0,0,0
19,E12SH,Electric,102,Single,H,89,247.3224226,21,2014,0,18,0,0,0,0,0
20,E12SH,Electric,102,Single,H,79,554.4382334,28,2015,0,18,0,0,0,0,0
21,E12SH,Electric,102,Single,H,60,349.7800266,6,2015,0,18,0,0,0,0,0
22,E12SH,Electric,102,Single,H,54,448.7202228,4,2015,0,18,0,0,0,0,0
23,E12SH,Electric,102,Single,H,54,295.9088648,124,2015,0,18,0,0,0,0,0
24,E12SH,Electric,102,Single,H,51,499.668788,96,2016,0,18,0,0,0,0,0
25,E62SH,Electric,62,Single,H,77,274.204141,5,2014,0,18,0,0,0,0,0
26,E12SH,Electric,102,Single,H,76,575.2169786,13,2015,0,17,0,0,0,0,0
27,E12SH,Electric,102,Single,H,69,336.4050229,110,2015,0,17,0,0,0,0,0
28,E62SH,Electric,62,Single,H,83,418.3155856,28,2014,0,17,0,0,0,0,0
29,E62SH,Electric,62,Single,H,71,496.0256055,42,2015,0,17,0,0,0,0,0
30,E62SH,Electric,62,Single,H,66,219.7411931,1,2015,0,17,0,0,0,0,0
31,E62SH,Electric,62,Single,H,46,325.7417857,167,2016,0,17,0,0,0,0,0
32,E12SH,Electric,102,Single,H,79,305.2708062,70,2015,0,16,0,0,0,0,0
33,E12SH,Electric,102,Single,H,63,515.3714995,56,2015,0,16,0,0,0,0,0
34,E12SH,Electric,102,Single,H,53,287.2118256,6,2016,0,16,0,0,0,0,0
35,E12SH,Electric,102,Single,H,49,542.70916,31,2016,0,16,0,0,0,0,0
36,E62SH,Electric,62,Single,H,75,434.6757114,75,2015,0,16,0,0,0,0,0
37,E62SH,Electric,62,Single,H,80,433.6040206,202,2015,0,16,0,0,0,0,0
38,E62SH,Electric,62,Single,H,62,351.841267,33,2015,0,16,0,0,0,0,0
39,E62SH,Electric,62,Single,H,64,464.3016351,9,2016,0,16,0,0,0,0,0
40,E12SH,Electric,102,Single,H,96,609.4135818,81,2015,0,15,0,0,0,0,0
41,E12SH,Electric,102,Single,H,87,401.9140525,12,2015,0,15,0,0,0,0,0
42,E12SH,Electric,102,Single,H,83,1236.755604,7,2015,0,15,0,0,0,0,0
43,E12SH,Electric,102,Single,H,89,364.4749065,18,2015,0,15,0,0,0,0,0
44,E12SH,Electric,102,Single,H,78,517.6402973,40,2015,0,15,0,0,0,0,0
45,E12SH,Electric,102,Single,H,89,312.3032987,7,2015,0,15,0,0,0,0,0
46,E12SH,Electric,102,Single,H,75,271.1757342,60,2015,0,15,0,0,0,0,0
47,E62SH,Electric,62,Single,H,87,264.6834552,60,2015,0,15,0,0,0,0,0
48,E62SH,Electric,62,Single,H,92,489.6959833,96,2015,0,15,0,0,0,0,0
49,E62SH,Electric,62,Single,H,68,432.1506195,16,2015,0,15,0,0,0,0,0
50,E62SH,Electric,62,Single,H,57,391.2217434,28,2016,0,15,0,0,0,0,0
51,E62SH,Electric,62,Single,H,64,424.7805198,13,2016,0,15,0,0,0,0,0
52,E62SH,Electric,62,Single,H,57,428.6989287,34,2016,0,15,0,0,0,0,0
53,E62SH,Electric,62,Single,H,55,232.1707036,15,2016,0,15,0,0,0,0,0
54,E11SH,Electric,101,Single,H,214,378.84875,90,2014,0,14,3,0,0,0,0
55,E12SH,Electric,102,Single,H,88,600.2238444,57,2015,0,14,0,0,0,0,0
56,E12SH,Electric,102,Single,H,99,705.1361398,89,2015,0,14,0,0,0,0,0
57,E12SH,Electric,102,Single,H,88,542.2659635,72,2015,0,14,0,0,0,0,0
58,E12SH,Electric,102,Single,H,91,472.7746862,53,2015,0,14,0,0,0,0,0
59,E12SH,Electric,102,Single,H,61,136.160945,26,2015,0,14,0,0,0,0,0
60,E12SI,Electric,102,Single,I,34,465.8850817,9,2017,0,14,0,0,0,0,0
61,E62SH,Electric,62,Single,H,68,518.8229805,196,2015,0,14,0,0,0,0,0
62,E62SH,Electric,62,Single,H,81,422.0943465,239,2015,0,14,0,0,0,0,0
63,E62SH,Electric,62,Single,H,78,359.2576991,65,2015,0,14,0,0,0,0,0
64,E62SH,Electric,62,Single,H,78,513.348578,57,2015,0,14,0,0,0,0,0
65,E62SH,Electric,62,Single,H,71,245.2419217,10,2015,0,14,1,0,1,0,0
66,E62SH,Electric,62,Single,H,79,341.6084402,55,2015,0,14,0,0,0,0,0
67,E62SH,Electric,62,Single,H,57,287.9889639,3,2016,0,14,0,0,0,0,0
68,E62SH,Electric,62,Single,H,61,274.8897221,54,2015,0,14,0,0,0,0,0
69,E12SH,Electric,102,Single,H,81,325.5951075,206,2015,0,13,0,0,0,0,0
70,E12SH,Electric,102,Single,H,112,497.797848,13,2015,0,13,0,0,0,0,0
71,E12SH,Electric,102,Single,H,71,278.2785114,20,2015,0,13,0,0,0,0,0
72,E12SH,Electric,102,Single,H,88,363.8709117,284,2015,0,13,1,0,0,0,0
73,E12SH,Electric,102,Single,H,103,217.5880032,96,2015,0,13,0,0,0,0,0
74,E12SH,Electric,102,Single,H,96,346.0268484,288,2015,0,13,0,0,0,0,0
75,E12SH,Electric,102,Single,H,93,577.1409088,23,2015,0,13,0,0,0,0,0
76,E12SH,Electric,102,Single,H,81,396.4454711,40,2015,0,13,1,0,0,0,0
77,E12SH,Electric,102,Single,H,79,720.1178253,38,2015,0,13,0,0,0,0,0
78,E12SH,Electric,102,Single,H,78,345.870042,46,2015,0,13,0,0,0,0,0
79,E12SH,Electric,102,Single,H,71,345.533485,21,2015,0,13,0,0,0,0,0
80,E12SH,Electric,102,Single,H,67,414.1923348,104,2015,0,13,0,0,0,0,0
81,E12SH,Electric,102,Single,H,63,299.9162575,76,2015,0,13,0,0,0,0,0
82,E12SH,Electric,102,Single,H,54,442.7637192,13,2016,0,13,0,0,0,0,0
83,E12SH,Electric,102,Single,H,59,279.9589619,10,2016,0,13,0,0,0,0,0
84,E12SH,Electric,102,Single,H,59,250.4203004,98,2016,0,13,0,0,0,0,0
85,E12SH,Electric,102,Single,H,58,327.080959,55,2016,0,13,0,0,0,0,0
86,E12SH,Electric,102,Single,H,40,207.9567693,56,2016,0,13,0,0,0,0,0
87,E12SI,Electric,102,Single,I,48,539.9560348,25,2016,0,13,0,0,0,0,0
88,E61SH,Electric,61,Single,H,169,227.4,0,2018,0,13,0,0,0,0,0
89,E62SH,Electric,62,Single,H,118,508.8959084,74,2014,0,13,0,0,0,0,0
90,E62SH,Electric,62,Single,H,84,383.0226869,39,2015,0,13,0,0,0,0,0
91,E62SH,Electric,62,Single,H,65,453.6708797,85,2015,0,13,1,0,0,0,0
92,E62SH,Electric,62,Single,H,82,401.6141808,14,2015,0,13,2,1,0,0,0
93,E62SH,Electric,62,Single,H,99,403.2743949,202,2015,0,13,0,0,0,0,0
