"","average_time_between_service","avg_serv_costs","days_to_first_serv","breakdown","machine_size_102","machine_size_62","machine_size_61","machine_size_201","machine_size_202","usage_class"
"105",43,310.468395209091,20,13,0,1,0,0,0,"6"
"106",120,266.762142857143,60,12,0,0,0,0,0,"6"
"107",119,307.516923076923,0,12,0,0,0,0,0,"6"
"108",143,281.303636363636,0,12,0,0,0,0,0,"6"
"109",116,227.962857142857,28,12,0,0,0,0,0,"3"
"110",64,401.174248119231,35,12,1,0,0,0,0,"6"
"111",84,364.783264114615,31,12,1,0,0,0,0,"6"
"112",96,469.877716584615,20,12,1,0,0,0,0,"6"
"113",81,314.562776102857,127,12,1,0,0,0,0,"6"
"114",103,392.116159814615,391,12,1,0,0,0,0,"1"
"115",88,357.774725415385,26,12,1,0,0,0,0,"6"
"116",82,631.359175651539,28,12,1,0,0,0,0,"5"
"117",60,621.630809875,92,12,1,0,0,0,0,"5"
"118",61,582.464659386154,22,12,1,0,0,0,0,"5"
"119",67,496.849303710909,18,12,1,0,0,0,0,"6"
"120",110,533.0093387625,30,12,0,1,0,0,0,"5"
"121",115,598.446133523333,208,12,0,1,0,0,0,"5"
"122",119,478.996266263636,133,12,0,1,0,0,0,"6"
"123",106,280.027223015833,129,12,0,1,0,0,0,"6"
"124",103,786.220606476154,81,12,0,1,0,0,0,"5"
"125",103,708.307957803846,91,12,0,1,0,0,0,"5"
"126",103,346.140259395385,197,12,0,1,0,0,0,"6"
"127",94,323.743600292308,4,12,0,1,0,0,0,"6"
"128",79,917.370108832308,21,12,0,1,0,0,0,"2"
"129",82,458.641328561538,39,12,0,1,0,0,0,"6"
"130",90,349.898520545455,144,12,0,1,0,0,0,"6"
"131",82,269.800006197692,29,12,0,1,0,0,0,"6"
"132",75,502.097403891667,164,12,0,1,0,0,0,"5"
"133",89,380.09705734,26,12,0,1,0,0,0,"6"
"134",87,486.472225454545,73,12,0,1,0,0,0,"6"
"135",99,322.265,0,11,0,0,0,0,0,"6"
"136",78,531.113405174167,94,11,1,0,0,0,0,"5"
"137",121,443.353434916667,15,11,1,0,0,0,0,"6"
"138",147,380.579413432222,170,11,1,0,0,0,0,"6"
"139",112,360.005821715833,37,11,1,0,0,0,0,"6"
"140",97,583.501849039231,56,11,1,0,0,0,0,"5"
"141",93,364.190537344167,68,11,1,0,0,0,0,"6"
"142",85,357.6664043375,68,11,1,0,0,0,0,"6"
"143",69,275.678265705,8,11,1,0,0,0,0,"6"
"144",72,247.0554592575,38,11,1,0,0,0,0,"3"
"145",83,741.839284602727,33,11,1,0,0,0,0,"5"
"146",66,298.43531984,68,11,1,0,0,0,0,"6"
"147",86,294.968964650909,71,11,1,0,0,0,0,"6"
"148",74,518.272455570909,30,11,1,0,0,0,0,"5"
"149",45,355.720194197,71,11,1,0,0,0,0,"6"
"150",87,373.2348578525,30,11,0,1,0,0,0,"6"
"151",126,271.03720796,643,11,0,1,0,0,0,"1"
"152",93,473.812366798333,28,11,0,1,0,0,0,"6"
"153",95,528.800059841667,193,11,0,1,0,0,0,"5"
"154",78,303.607095764167,71,11,0,1,0,0,0,"6"
"155",108,438.983575994,154,11,0,1,0,0,0,"6"
"156",73,275.841111221667,77,11,0,1,0,0,0,"6"
"157",75,338.919171088333,156,11,0,1,0,0,0,"6"
"158",73,349.079984806667,65,11,0,1,0,0,0,"6"
"159",86,388.127439571818,108,11,0,1,0,0,0,"6"
"160",82,384.536869980833,31,11,0,1,0,0,0,"6"
"161",72,413.186711735,2,11,0,1,0,0,0,"6"
"162",72,238.239481842727,160,11,0,1,0,0,0,"3"
"163",79,417.610388072727,49,11,0,1,0,0,0,"6"
"164",162,238.799,26,10,0,0,0,0,0,"3"
"165",204,418.66875,357,10,0,0,0,0,0,"1"
"166",149,410.314,97,10,0,0,0,0,0,"6"
"167",153,222.6266462525,171,10,1,0,0,0,0,"3"
"168",172,676.762123492222,28,10,1,0,0,0,0,"5"
"169",117,494.347056559091,27,10,1,0,0,0,0,"5"
"170",122,541.438973172727,32,10,1,0,0,0,0,"5"
"171",136,393.447813218,163,10,1,0,0,0,0,"6"
"172",122,302.696015494,56,10,1,0,0,0,0,"6"
"173",154,264.756470892222,143,10,1,0,0,0,0,"6"
"174",97,571.102708436364,21,10,1,0,0,0,0,"5"
"175",106,474.190846963636,147,10,1,0,0,0,0,"6"
"176",123,448.245683877778,141,10,1,0,0,0,0,"6"
"177",89,338.540980303636,174,10,1,0,0,0,0,"6"
"178",110,420.618242955556,46,10,1,0,0,0,0,"6"
"179",82,494.88127068,189,10,1,0,0,0,0,"5"
"180",113,497.013667996667,105,10,0,1,0,0,0,"5"
"181",105,470.64580755,196,10,0,1,0,0,0,"6"
"182",121,432.094718893636,190,10,0,1,0,0,0,"6"
"183",139,699.111066013333,96,10,0,1,0,0,0,"5"
"184",128,312.801293969,90,10,0,1,0,0,0,"6"
"185",95,491.577405516,16,10,0,1,0,0,0,"6"
"186",115,430.160788189,166,10,0,1,0,0,0,"6"
"187",100,272.94290915,56,10,0,1,0,0,0,"6"
"188",93,362.609476256364,72,10,0,1,0,0,0,"6"
"189",93,387.520952454545,243,10,0,1,0,0,0,"6"
"190",70,260.412533176364,118,10,0,1,0,0,0,"3"
"191",80,315.100237724545,63,10,0,1,0,0,0,"6"
"192",93,591.510501606364,61,10,0,1,0,0,0,"5"
"193",64,299.848216110833,20,10,0,1,0,0,0,"6"
"194",81,406.838535076667,9,10,0,1,0,0,0,"6"
"195",84,379.811878333333,4,10,0,1,0,0,0,"6"
"196",42,585.932818563636,52,10,0,1,0,0,0,"5"
"197",159,452.711,0,9,0,0,0,0,0,"6"
