serial_number,sales_organisation,service_call_category,total_service_count,model,energy_type,machine_size,machine_type
1,300 Organisation AG,Breakdown,33,G11SH,Gas,101,Single
2,200 Organisation Deutschland,Breakdown,32,E11SH,Electric,101,Single
3,500 Organisation USA,Breakdown,30,E12SH,Electric,102,Single
4,500 Organisation USA,Breakdown,30,E12SH,Electric,102,Single
5,320 Organisation International,Breakdown,30,E61SG,Electric,61,Single
6,500 Organisation USA,Breakdown,30,E62SH,Electric,62,Single
7,500 Organisation USA,Breakdown,29,88888,NA,NA,NA
8,200 Organisation Deutschland,Breakdown,27,E11SH,Electric,101,Single
9,500 Organisation USA,Breakdown,27,E12SH,Electric,102,Single
10,500 Organisation USA,Breakdown,27,E62SH,Electric,62,Single
11,500 Organisation USA,Breakdown,26,E12SH,Electric,102,Single
12,500 Organisation USA,Breakdown,26,E12SH,Electric,102,Single
13,320 Organisation International,Breakdown,26,E61SG,Electric,61,Single
14,200 Organisation Deutschland,Breakdown,25,1000,NA,NA,NA
15,500 Organisation USA,Breakdown,24,E12SH,Electric,102,Single
16,500 Organisation USA,Breakdown,24,E12SH,Electric,102,Single
17,500 Organisation USA,Breakdown,24,E12SH,Electric,102,Single
18,500 Organisation USA,Breakdown,24,E62SH,Electric,62,Single
19,500 Organisation USA,Breakdown,24,E62SH,Electric,62,Single
20,500 Organisation USA,Breakdown,24,E62SH,Electric,62,Single
21,500 Organisation USA,Breakdown,23,E12SH,Electric,102,Single
22,610 Organisation Polen,Breakdown,23,G21SE,Gas,201,Single
23,500 Organisation USA,Breakdown,22,E12SG,Electric,102,Single
24,500 Organisation USA,Breakdown,22,E12SH,Electric,102,Single
25,500 Organisation USA,Breakdown,22,E12SH,Electric,102,Single
26,500 Organisation USA,Breakdown,22,E12SH,Electric,102,Single
27,320 Organisation International,Breakdown,22,E61SG,Electric,61,Single
28,500 Organisation USA,Breakdown,22,E62SG,Electric,62,Single
29,200 Organisation Deutschland,Breakdown,21,E11SH,Electric,101,Single
30,500 Organisation USA,Breakdown,21,E12SG,Electric,102,Single
31,500 Organisation USA,Breakdown,21,E12SH,Electric,102,Single
32,500 Organisation USA,Breakdown,21,E12SH,Electric,102,Single
33,500 Organisation USA,Breakdown,21,E12SH,Electric,102,Single
34,500 Organisation USA,Breakdown,21,E12SH,Electric,102,Single
35,500 Organisation USA,Breakdown,21,E12SH,Electric,102,Single
36,500 Organisation USA,Breakdown,21,E62SH,Electric,62,Single
37,500 Organisation USA,Breakdown,21,E62SH,Electric,62,Single
38,500 Organisation USA,Breakdown,21,E62SH,Electric,62,Single
39,610 Organisation Polen,Breakdown,21,G22SG,Gas,202,Single
40,200 Organisation Deutschland,Breakdown,20,E11SG,Electric,101,Single
41,500 Organisation USA,Breakdown,20,E12SG,Electric,102,Single
42,500 Organisation USA,Breakdown,20,E12SH,Electric,102,Single
43,500 Organisation USA,Breakdown,20,E12SH,Electric,102,Single
44,500 Organisation USA,Breakdown,20,E12SH,Electric,102,Single
45,500 Organisation USA,Breakdown,20,E12SH,Electric,102,Single
46,500 Organisation USA,Breakdown,20,E12SH,Electric,102,Single
47,500 Organisation USA,Breakdown,20,E12SH,Electric,102,Single
48,320 Organisation International,Breakdown,20,E61SG,Electric,61,Single
49,320 Organisation International,Breakdown,20,E61SG,Electric,61,Single
50,500 Organisation USA,Breakdown,20,E62SH,Electric,62,Single
51,500 Organisation USA,Breakdown,20,E62SH,Electric,62,Single
52,500 Organisation USA,Breakdown,20,E62SH,Electric,62,Single
53,500 Organisation USA,Breakdown,20,E62SH,Electric,62,Single
54,500 Organisation USA,Breakdown,20,E62SH,Electric,62,Single
55,500 Organisation USA,Breakdown,20,E62SH,Electric,62,Single
56,500 Organisation USA,Breakdown,20,E62SH,Electric,62,Single
57,500 Organisation USA,Breakdown,19,E12SH,Electric,102,Single
58,500 Organisation USA,Breakdown,19,E12SH,Electric,102,Single
59,500 Organisation USA,Breakdown,19,E12SH,Electric,102,Single
60,500 Organisation USA,Breakdown,19,E12SH,Electric,102,Single
61,500 Organisation USA,Breakdown,19,E12SH,Electric,102,Single
62,500 Organisation USA,Breakdown,19,E62SH,Electric,62,Single
63,500 Organisation USA,Breakdown,19,E62SH,Electric,62,Single
64,500 Organisation USA,Breakdown,19,E62SH,Electric,62,Single
65,500 Organisation USA,Breakdown,19,E62SH,Electric,62,Single
66,500 Organisation USA,Breakdown,19,E62SH,Electric,62,Single
67,500 Organisation USA,Breakdown,19,E62SH,Electric,62,Single
68,500 Organisation USA,Breakdown,19,E62SH,Electric,62,Single
69,610 Organisation Polen,Breakdown,19,G21SE,Gas,201,Single
70,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
71,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
72,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
73,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
74,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
75,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
76,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
77,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
78,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
79,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
80,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
81,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
82,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
83,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
84,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
85,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
86,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
87,500 Organisation USA,Breakdown,18,E12SH,Electric,102,Single
88,200 Organisation Deutschland,Breakdown,18,E61SH,Electric,61,Single
89,610 Organisation Polen,Breakdown,18,E61SH,Electric,61,Single
90,500 Organisation USA,Breakdown,18,E62SG,Electric,62,Single
91,500 Organisation USA,Breakdown,18,E62SH,Electric,62,Single
92,500 Organisation USA,Breakdown,18,E62SH,Electric,62,Single
93,500 Organisation USA,Breakdown,22,E12SG,Electric,102,Single
94,500 Organisation USA,Breakdown,22,E12SH,Electric,102,Single
95,500 Organisation USA,Breakdown,22,E12SH,Electric,102,Single
96,500 Organisation USA,Breakdown,22,E12SH,Electric,102,Single
97,500 Organisation USA,Breakdown,22,E12SH,Electric,102,Single
98,500 Organisation USA,Breakdown,22,E12SH,Electric,102,Single
99,500 Organisation USA,Breakdown,22,E12SH,Electric,102,Single
100,500 Organisation USA,Breakdown,22,E12SH,Electric,102,Single
101,200 Organisation Deutschland,Breakdown,22,E61SH,Electric,61,Single
102,500 Organisation USA,Breakdown,22,E62SH,Electric,62,Single
103,500 Organisation USA,Breakdown,22,E62SH,Electric,62,Single
104,500 Organisation USA,Breakdown,22,E62SH,Electric,62,Single
105,500 Organisation USA,Breakdown,22,E62SH,Electric,62,Single
106,500 Organisation USA,Breakdown,22,E62SH,Electric,62,Single
107,500 Organisation USA,Breakdown,22,E62SH,Electric,62,Single
108,500 Organisation USA,Breakdown,22,E62SH,Electric,62,Single
109,610 Organisation Polen,Breakdown,22,G11SH,Gas,101,Single
110,610 Organisation Polen,Breakdown,22,G21SE,Gas,201,Single
111,200 Organisation Deutschland,Installation / Commissioning,16,1000,NA,NA,NA
112,500 Organisation USA,Breakdown,16,E12SG,Electric,102,Single
113,500 Organisation USA,Breakdown,16,E12SH,Electric,102,Single
114,500 Organisation USA,Breakdown,16,E12SH,Electric,102,Single
115,500 Organisation USA,Breakdown,16,E12SH,Electric,102,Single
116,500 Organisation USA,Breakdown,16,E12SH,Electric,102,Single
117,500 Organisation USA,Breakdown,16,E12SH,Electric,102,Single
118,500 Organisation USA,Breakdown,16,E12SH,Electric,102,Single
119,500 Organisation USA,Breakdown,16,E12SH,Electric,102,Single
120,500 Organisation USA,Breakdown,16,E12SH,Electric,102,Single
121,500 Organisation USA,Breakdown,16,E12SH,Electric,102,Single
122,500 Organisation USA,Breakdown,16,E12SH,Electric,102,Single
123,500 Organisation USA,Breakdown,16,E12SH,Electric,102,Single
124,500 Organisation USA,Breakdown,16,E12SH,Electric,102,Single
125,320 Organisation International,Breakdown,16,E61SG,Electric,61,Single
126,320 Organisation International,Breakdown,16,E61SG,Electric,61,Single
127,500 Organisation USA,Breakdown,16,E62SG,Electric,62,Single
128,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
129,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
130,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
131,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
132,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
133,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
134,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
135,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
136,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
137,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
138,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
139,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
140,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
141,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
142,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
143,500 Organisation USA,Breakdown,16,E62SH,Electric,62,Single
144,610 Organisation Polen,Breakdown,16,G11SG,Gas,101,Single
145,610 Organisation Polen,Breakdown,16,G62SE,Gas,62,Single
146,150 Organisation Oesterreich,Breakdown,15,E11SH,Electric,101,Single
147,500 Organisation USA,Breakdown,15,E12SH,Electric,102,Single
148,500 Organisation USA,Breakdown,15,E12SH,Electric,102,Single
149,500 Organisation USA,Breakdown,15,E12SH,Electric,102,Single
150,500 Organisation USA,Breakdown,15,E12SH,Electric,102,Single
151,500 Organisation USA,Breakdown,15,E12SH,Electric,102,Single
152,500 Organisation USA,Breakdown,15,E12SH,Electric,102,Single
153,500 Organisation USA,Breakdown,15,E12SH,Electric,102,Single
154,500 Organisation USA,Breakdown,15,E12SH,Electric,102,Single
155,500 Organisation USA,Breakdown,15,E12SH,Electric,102,Single
156,500 Organisation USA,Breakdown,15,E12SH,Electric,102,Single
157,500 Organisation USA,Breakdown,15,E12SH,Electric,102,Single
158,500 Organisation USA,Breakdown,15,E12SH,Electric,102,Single
159,500 Organisation USA,Breakdown,15,E12SH,Electric,102,Single
160,610 Organisation Polen,Breakdown,15,E61SG,Electric,61,Single
161,320 Organisation International,Breakdown,15,E61SG,Electric,61,Single
162,320 Organisation International,Breakdown,15,E61SG,Electric,61,Single
163,200 Organisation Deutschland,Breakdown,15,E61SH,Electric,61,Single
164,500 Organisation USA,Breakdown,15,E62SH,Electric,62,Single
165,500 Organisation USA,Breakdown,15,E62SH,Electric,62,Single
166,500 Organisation USA,Breakdown,15,E62SH,Electric,62,Single
167,500 Organisation USA,Breakdown,15,E62SH,Electric,62,Single
168,500 Organisation USA,Breakdown,15,E62SH,Electric,62,Single
169,500 Organisation USA,Breakdown,15,E62SH,Electric,62,Single
170,500 Organisation USA,Breakdown,15,E62SH,Electric,62,Single
171,500 Organisation USA,Breakdown,15,E62SH,Electric,62,Single
172,500 Organisation USA,Breakdown,15,E62SH,Electric,62,Single
173,500 Organisation USA,Breakdown,15,E62SH,Electric,62,Single
174,500 Organisation USA,Breakdown,15,E62SH,Electric,62,Single
175,500 Organisation USA,Breakdown,15,E62SH,Electric,62,Single
176,500 Organisation USA,Breakdown,15,E62SH,Electric,62,Single
177,610 Organisation Polen,Breakdown,15,G11SE,Gas,101,Single
178,200 Organisation Deutschland,Breakdown,15,G21SH,Gas,201,Single
179,610 Organisation Polen,Breakdown,15,G22SE,Gas,202,Single
180,610 Organisation Polen,Breakdown,15,G61SG,Gas,61,Single
181,610 Organisation Polen,Breakdown,15,G61SG,Gas,61,Single
182,610 Organisation Polen,Breakdown,14,E11CD,Electric,101,NA
183,150 Organisation Oesterreich,Breakdown,14,E11SH,Electric,101,Single
184,150 Organisation Oesterreich,Breakdown,14,E11SH,Electric,101,Single
185,150 Organisation Oesterreich,Breakdown,14,E11SH,Electric,101,Single
186,500 Organisation USA,Breakdown,14,E12SG,Electric,102,Single
187,500 Organisation USA,Breakdown,14,E12SG,Electric,102,Single
188,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
189,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
190,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
191,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
192,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
193,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
194,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
195,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
196,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
197,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
198,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
199,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
200,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
201,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
202,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
203,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
204,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
205,500 Organisation USA,Breakdown,14,E12SH,Electric,102,Single
206,500 Organisation USA,Breakdown,14,E12SI,Electric,102,Single
207,610 Organisation Polen,Breakdown,14,E61SG,Electric,61,Single
208,320 Organisation International,Breakdown,14,E61SG,Electric,61,Single
209,320 Organisation International,Breakdown,14,E61SG,Electric,61,Single
210,320 Organisation International,Breakdown,14,E61SG,Electric,61,Single
211,610 Organisation Polen,Breakdown,14,E61SG,Electric,61,Single
212,200 Organisation Deutschland,Breakdown,14,E61SH,Electric,61,Single
213,320 Organisation International,Breakdown,14,E61SH,Electric,61,Single
214,500 Organisation USA,Breakdown,14,E62SG,Electric,62,Single
215,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
216,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
217,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
218,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
219,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
220,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
221,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
222,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
223,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
224,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
225,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
226,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
227,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
228,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
229,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
230,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
231,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
232,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
233,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
234,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
235,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
236,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
237,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
238,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
239,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
240,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
241,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
242,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
243,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
244,500 Organisation USA,Breakdown,14,E62SH,Electric,62,Single
245,610 Organisation Polen,Breakdown,14,G11SE,Gas,101,Single
246,610 Organisation Polen,Breakdown,14,G11SG,Gas,101,Single
247,200 Organisation Deutschland,Breakdown,14,G22SH,Gas,202,Single
248,320 Organisation International,Breakdown,14,G61SG,Gas,61,Single
249,150 Organisation Oesterreich,Breakdown,13,E11SH,Electric,101,Single
250,150 Organisation Oesterreich,Breakdown,13,E11SH,Electric,101,Single
251,150 Organisation Oesterreich,Breakdown,13,E11SH,Electric,101,Single
252,150 Organisation Oesterreich,Breakdown,13,E11SH,Electric,101,Single
253,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
254,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
255,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
256,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
257,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
258,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
259,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
260,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
261,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
262,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
263,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
264,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
265,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
266,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
267,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
268,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
269,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
270,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
271,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
272,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
273,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
274,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
275,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
276,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
277,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
278,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
279,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
280,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
281,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
282,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
283,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
284,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
285,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
286,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
287,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
288,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
289,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
290,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
291,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
292,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
293,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
294,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
295,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
296,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
297,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
298,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
299,500 Organisation USA,Breakdown,13,E12SH,Electric,102,Single
300,500 Organisation USA,Breakdown,13,E12SI,Electric,102,Single
301,610 Organisation Polen,Breakdown,13,E61SG,Electric,61,Single
302,200 Organisation Deutschland,Breakdown,13,E61SG,Electric,61,Single
303,320 Organisation International,Breakdown,13,E61SG,Electric,61,Single
304,200 Organisation Deutschland,Breakdown,13,E61SH,Electric,61,Single
305,200 Organisation Deutschland,Breakdown,13,E61SH,Electric,61,Single
306,200 Organisation Deutschland,Breakdown,13,E61SH,Electric,61,Single
307,610 Organisation Polen,Breakdown,13,E61SH,Electric,61,Single
308,150 Organisation Oesterreich,Breakdown,13,E61SH,Electric,61,Single
309,150 Organisation Oesterreich,Breakdown,13,E61SH,Electric,61,Single
310,150 Organisation Oesterreich,Breakdown,13,E61SH,Electric,61,Single
311,500 Organisation USA,Breakdown,13,E62SG,Electric,62,Single
312,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
313,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
314,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
315,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
316,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
317,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
318,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
319,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
320,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
321,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
322,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
323,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
324,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
325,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
326,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
327,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
328,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
329,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
330,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
331,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
332,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
333,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
334,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
335,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
336,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
337,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
338,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
339,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
340,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
341,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
342,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
343,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
344,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
345,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
346,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
347,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
348,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
349,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
350,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
351,500 Organisation USA,Breakdown,13,E62SH,Electric,62,Single
352,500 Organisation USA,Breakdown,13,E62SI,Electric,62,Single
353,610 Organisation Polen,Breakdown,13,G11SE,Gas,101,Single
354,610 Organisation Polen,Breakdown,13,G21SE,Gas,201,Single
355,610 Organisation Polen,Breakdown,13,G22SE,Gas,202,Single
356,610 Organisation Polen,Breakdown,13,G61SE,Gas,61,Single
357,610 Organisation Polen,Breakdown,12,E11CD,Electric,101,NA
358,610 Organisation Polen,Breakdown,12,E11SE,Electric,101,Single
359,200 Organisation Deutschland,Breakdown,12,E11SG,Electric,101,Single
360,200 Organisation Deutschland,Breakdown,12,E11SH,Electric,101,Single
361,150 Organisation Oesterreich,Breakdown,12,E11SH,Electric,101,Single
362,150 Organisation Oesterreich,Breakdown,12,E11SH,Electric,101,Single
363,150 Organisation Oesterreich,Breakdown,12,E11SH,Electric,101,Single
364,150 Organisation Oesterreich,Breakdown,12,E11SH,Electric,101,Single
365,150 Organisation Oesterreich,Breakdown,12,E11SH,Electric,101,Single
366,150 Organisation Oesterreich,Breakdown,12,E11SH,Electric,101,Single
367,150 Organisation Oesterreich,Breakdown,12,E11SH,Electric,101,Single
368,500 Organisation USA,Breakdown,12,E12SG,Electric,102,Single
369,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
370,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
371,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
372,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
373,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
374,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
375,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
376,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
377,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
378,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
379,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
380,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
381,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
382,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
383,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
384,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
385,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
386,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
387,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
388,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
389,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
390,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
391,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
392,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
393,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
394,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
395,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
396,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
397,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
398,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
399,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
400,500 Organisation USA,Breakdown,12,E12SH,Electric,102,Single
401,610 Organisation Polen,Breakdown,12,E22CB,Electric,202,NA
402,610 Organisation Polen,Breakdown,12,E61CD,Electric,61,NA
403,200 Organisation Deutschland,Breakdown,12,E61MH,Electric,61,Mult
404,610 Organisation Polen,Breakdown,12,E61SE,Electric,61,Single
405,320 Organisation International,Breakdown,12,E61SG,Electric,61,Single
406,320 Organisation International,Breakdown,12,E61SG,Electric,61,Single
407,320 Organisation International,Breakdown,12,E61SG,Electric,61,Single
408,320 Organisation International,Breakdown,12,E61SG,Electric,61,Single
409,200 Organisation Deutschland,Breakdown,12,E61SH,Electric,61,Single
410,400 Organisation UK,Breakdown,12,E61SH,Electric,61,Single
411,200 Organisation Deutschland,Breakdown,12,E61SH,Electric,61,Single
412,200 Organisation Deutschland,Breakdown,12,E61SH,Electric,61,Single
413,610 Organisation Polen,Breakdown,12,E61SH,Electric,61,Single
414,200 Organisation Deutschland,Breakdown,12,E61SH,Electric,61,Single
415,320 Organisation International,Breakdown,12,E61SH,Electric,61,Single
416,320 Organisation International,Breakdown,12,E61SH,Electric,61,Single
417,500 Organisation USA,Breakdown,12,E62SG,Electric,62,Single
418,500 Organisation USA,Breakdown,12,E62SH,Electric,62,Single
